# index, _pos
466,"array([ 131.99867656, -121.05338145])"
467,"array([ 154.39373902, -113.36741276])"
468,"array([ 152.07384487, -126.29749462])"
469,"array([ 138.49078113, -135.57641591])"
470,"array([ 162.11557015, -131.10271806])"
471,"array([ 157.4335003 , -114.58335445])"
472,"array([ 155.80219583, -117.8323778 ])"
473,"array([ 140.53344599, -136.9670013 ])"
474,"array([ 136.56182377, -139.18172969])"
475,"array([ 144.14525653, -137.80062466])"
476,"array([ 147.01917318, -136.10185732])"
477,"array([ 124.41037677, -157.03795519])"
478,"array([ 116.14286197, -155.0673356 ])"
479,"array([ 133.290694  , -151.29621555])"
480,"array([ 137.1652574 , -152.09119159])"
481,"array([ 139.43095741, -127.12492041])"
482,"array([ 136.77026336, -119.27093127])"
483,"array([ 141.20495938, -133.95324861])"
484,"array([ 141.83091242, -141.36467295])"
485,"array([ 146.70967902, -142.89508031])"
486,"array([ 147.19025432, -121.98840546])"
487,"array([ 157.04997977, -135.5342567 ])"
488,"array([ 152.73560313, -131.78905487])"
489,"array([ 142.28988668, -136.82090327])"
490,"array([ 126.96446165, -159.95781879])"
491,"array([ 145.49397407, -134.98053492])"
492,"array([ 137.6887551 , -134.25382706])"
493,"array([ 136.18895268, -147.60952881])"
494,"array([ 144.50141382, -146.74789021])"
495,"array([ 132.38117573, -121.9394607 ])"
496,"array([ 138.0928129 , -150.14747625])"
497,"array([ 193.61244793, -162.25195498])"
498,"array([ 145.74890895, -124.59694455])"
499,"array([ 141.23541031, -129.40844325])"
500,"array([ 147.00089736, -155.94276157])"
501,"array([ 143.69072484, -139.51453917])"
502,"array([ 149.40446535, -133.83598869])"
503,"array([ 147.65430525, -132.43950015])"
504,"array([ 144.71649482, -132.0279027 ])"
505,"array([ 138.46868593, -144.38355195])"
506,"array([ 152.06555672, -141.23600922])"
507,"array([ 148.18257313, -137.71841973])"
508,"array([ 135.13483606, -147.5703166 ])"
509,"array([ 134.98125958, -139.80241762])"
510,"array([ 137.53016572, -148.66939624])"
511,"array([ 147.01357399, -140.6866359 ])"
512,"array([ 153.83379178, -133.6712402 ])"
